DCI / Nome Genérico;Nome do Medicamento;Forma Farmacêutica;Dosagem;Estado de Autorização;Genérico;Titular de AIM;Stock
Acetato de eslicarbazepina;Zebinix;Comprimido;600 mg;Autorizado;N;Bial - Portela & Cª, S.A.;50,,,,,,,,
Acetato de eslicarbazepina;Zebinix;Comprimido;800 mg;Autorizado;N;Bial - Portela & Cª, S.A.;50,,,,,,,,
Acetato de glatirâmero;Copaxone;Solução injetável;20 mg/1 ml;Autorizado;N;Teva Pharmaceuticals, Ltd.;50,,,,,,,,
Acetato de glatirâmero;Copaxone;Solução injetável em seringa pré-cheia;40 mg/ml;Autorizado;N;Teva Pharmaceuticals, Ltd.;50,,,,,,,,
Acetato de zinco;Wilzin;Cápsula;25 mg;Autorizado;N;   Orphan Europe, S.A.R.L.;50,,,,,,,,
Acetato de zinco;Wilzin;Cápsula;50 mg;Autorizado;N;   Orphan Europe, S.A.R.L.;50,,,,,,,,
Acetazolamida;Carbinib;Comprimido;250 mg;Autorizado;N;Laboratório Edol - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acetazolamida;Carbinib R;Cápsula de libertação prolongada;500 mg;Autorizado;N;Laboratório Edol - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Bluval 600 mg Comprimidos efervescentes;Comprimido efervescente;600 mg;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Boehringer;Comprimido efervescente;600 mg;Autorizado;S;Unilfarma - União Internacional Laboratórios Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Generis;Comprimido efervescente;600 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Mepha;Pó para solução oral;200 mg;Autorizado;N;Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.;50,,,,,,,
Acetilcisteína;Acetilcisteína Mepha;Pó para solução oral;600 mg;Autorizado;N;Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.;50,,,,,,,
Acetilcisteína;Acetilcisteína PLS;Comprimido efervescente;600 mg;Autorizado;S;PLS Pharma - Produtos Farmacêuticos, Lda;50,,,,,,,,
Acetilcisteína;Acetilcisteína Pharmakern;Comprimido efervescente;600 mg;Autorizado;S;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;50,,,,,,,
Acetilcisteína;Acetilcisteína Sandoz;Comprimido efervescente;600 mg;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Sandoz;Pó para solução oral;100 mg;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Sandoz;Pó para solução oral;200 mg;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Sandoz;Pó para solução oral;600 mg;Autorizado;N;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Sandoz;Solução oral;20 mg/ml;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Teclave;Comprimido efervescente;100 mg;Autorizado;N;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Teclave;Comprimido efervescente;200 mg;Autorizado;N;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Teclave;Comprimido efervescente;600 mg;Autorizado;S;Sandoz Farmacêutica, Lda.;50,,,,,,,,
Acetilcisteína;Acetilcisteína ToLife;Comprimido efervescente;200 mg;Autorizado;S;ToLife - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acetilcisteína;Acetilcisteína ToLife;Comprimido efervescente;600 mg;Autorizado;S;ToLife - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acetilcisteína;Acetilcisteína Tussilene;Comprimido efervescente;600 mg;Autorizado;S;Laboratórios Azevedos - Indústria Farmacêutica, S.A.;50,,,,,,,,
Acetilcisteína;Fluimucil;Comprimido efervescente;600 mg;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil;Concentrado para solução para perfusão;200 mg/ml;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil;Granulado para solução oral;100 mg;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil;Granulado para solução oral;200 mg;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil;Solução injetável;300 mg/3 ml;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil 2%;Solução oral;20 mg/ml;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil 200 mg Comprimidos Dispersíveis;Comprimido dispersível;200 mg;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Fluimucil 4%;Solução oral;40 mg/ml;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilcisteína;Pulmosal;Comprimido efervescente;200 mg;Autorizado;N;Laboratórios Azevedos - Indústria Farmacêutica, S.A.;50,,,,,,,,
Acetilcisteína;Rinofluimucil;Gotas nasais, solução;10 mg/ml;Autorizado;N;Zambon - Produtos Farmacêuticos, Lda.;50,,,,,,,
Acetilcisteína;Tirocular;Colírio, solução;40 mg/ml;Autorizado;N;Angelini Farmacêutica, Lda.;50,,,,,,,
Acetilsalicilato de lisina;Acetilsalicilato de Lisina Labesfal 1800mg Pó e Solvente para Solução Injectável;Pó e solvente para solução injetável;1800 mg/5 ml;Autorizado;S;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Acetilsalicilato de lisina;Acetilsalicilato de Lisina Labesfal 900 mg Pó e Solvente para Solução Injectável;Pó e solvente para solução injetável;900 mg/5 ml;Autorizado;S;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Acetilsalicilato de lisina;Aspegic 100;Pó para solução oral;180 mg;Autorizado;N;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilsalicilato de lisina;Aspegic 1000;Pó para solução oral;1800 mg;Autorizado;N;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilsalicilato de lisina;Aspegic 500;Pó para solução oral;900 mg;Autorizado;N;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Acetilsalicilato de lisina;Lisaspin 1000;Pó para solução oral;1800 mg;Autorizado;N;Aristo Pharma Iberia, SL;50,,,,,,,,
Acetilsalicilato de lisina;Lisaspin 500;Pó para solução oral;900 mg;Autorizado;N;Aristo Pharma Iberia, SL;50,,,,,,,,
Acetonido de fluocinolona;Iluvien;Implante intravítreo em aplicador;190 µg;Autorizado;N;Alimera Sciences Limited;50
Acetonido de fluocinolona;Synalar;Creme;0.25 mg/g;Autorizado;N;Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.;50,,,,,,,,
Acetonido de fluocinolona + Lidocaína + Subgalhato de bismuto;Synalar Rectal;Pomada retal;Associação;Autorizado;N;Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.;50,,,,,,,,
Acetonido de fluocinolona + Neomicina;Synalar N;Creme;3.5 mg + 0.25 mg;Autorizado;N;Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.;50,,,,,,,,
Acetonido de fluocinolona + Neomicina + Polimixina B;Oto-Synalar N;Gotas auriculares, solução;Associação;Autorizado;N;Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.;50,,,,,,,
Aciclovir;Aciclosina;Creme;50 mg/g;Autorizado;N;Laboratórios Atral, S.A.;50,,,,,,,,
Aciclovir;Aciclovax;Pó para solução para perfusão;250 mg;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Axone;Creme;50 mg/g;Autorizado;S;Axone, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Bluepharma;Creme;50 mg/g;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Ciclum;Comprimido;200 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Ciclum;Comprimido;400 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Ciclum;Comprimido;800 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Cinfa 800 mg Comprimidos Dispersíveis;Comprimido dispersível;800 mg;Autorizado;S;Cinfa Portugal,Lda.;50,,,,,,,,
Aciclovir;Aciclovir Combino;Pó para solução para perfusão;250 mg;Autorizado;S;Accord Healthcare Limited;50
Aciclovir;Aciclovir Combino;Solução para perfusão;250 mg/10 ml;Autorizado;S;Accord Healthcare Limited;50
Aciclovir;Aciclovir Generis;Creme;50 mg/g;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Generis;Pó para solução para perfusão;250 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Generis 200 mg Comprimidos;Comprimido;200 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Generis 800 mg Comprimidos;Comprimido;800 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Germed;Creme;50 mg/g;Autorizado;S;Germed Farmacêutica, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Hikma;Pó para solução para perfusão;250 mg;Autorizado;S;Hikma Farmacêutica (Portugal), S.A.;50,,,,,,,,
Aciclovir;Aciclovir Hikma;Pó para solução para perfusão;500 mg;Autorizado;S;Hikma Farmacêutica (Portugal), S.A.;50,,,,,,,,
Aciclovir;Aciclovir ITF 200 mg Comprimidos;Comprimido;200 mg;Autorizado;S;ITF Farma - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aciclovir;Aciclovir ITF 800 mg Comprimidos;Comprimido;800 mg;Autorizado;S;ITF Farma - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Labesfal;Creme;50 mg/g;Autorizado;N;Labesfal Genéricos, S.A;50,,,,,,,,
Aciclovir;Aciclovir Labesfal 200 mg Comprimidos;Comprimido;200 mg;Autorizado;S;Labesfal Genéricos, S.A;50,,,,,,,,
Aciclovir;Aciclovir Labesfal 800 mg Comprimidos;Comprimido;800 mg;Autorizado;S;Labesfal Genéricos, S.A;50,,,,,,,,
Aciclovir;Aciclovir Sidefarma;Pó para solução para perfusão;250 mg;Autorizado;S;Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Tedec;Solução para perfusão;250 mg/10 ml;Autorizado;N;Decomed Farmacêutica, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Vida;Comprimido;200 mg;Autorizado;S;Vida - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Vida;Comprimido;800 mg;Autorizado;S;Vida - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Aciclovir;Aciclovir Volg;Creme;50 mg/g;Autorizado;S;Germed Farmacêutica, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Zentiva;Comprimido;200 mg;Autorizado;S;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aciclovir;Aciclovir Zentiva;Comprimido dispersível;800 mg;Autorizado;S;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aciclovir;Aciclovir ratiopharm;Creme;50 mg/g;Autorizado;S;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aciclovir;Briclofar;Creme;50 mg/g;Autorizado;N;Caldeira & Metelo, Lda.;50,,,,,,,,
Aciclovir;Cicloviral;Comprimido;200 mg;Autorizado;N;Laboratório Medinfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Aciclovir;Cicloviral;Comprimido;400 mg;Autorizado;N;Laboratório Medinfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Aciclovir;Cicloviral;Comprimido;800 mg;Autorizado;N;Laboratório Medinfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Aciclovir;Cicloviral;Creme;50 mg/g;Autorizado;N;Medinfar Consumer Health - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aciclovir;Cicloviral IV;Pó para solução para perfusão;250 mg;Autorizado;N;Laboratório Medinfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Aciclovir;Divicil;Comprimido;200 mg;Autorizado;N;Laboratório B. A. Farma, Lda.;50,,,,,,,,
Aciclovir;Divicil;Comprimido;800 mg;Autorizado;N;Laboratório B. A. Farma, Lda.;50,,,,,,,,
Aciclovir;Divicil;Suspensão oral;80 mg/ml;Autorizado;N;Laboratório B. A. Farma, Lda.;50,,,,,,,,
Aciclovir;Faulviral;Concentrado para solução para perfusão;25 mg/ml;Autorizado;N;   Hospira Portugal, Lda;50,,,,,,,,
Aciclovir;Hermix-Sofex;Comprimido;200 mg;Autorizado;N;Sofex Farmacêutica, Lda.;50,,,,,,,,
Aciclovir;Hermix-Sofex;Creme;50 mg/g;Autorizado;N;Sofex Farmacêutica, Lda.;50,,,,,,,,
Aciclovir;Lipovir;Gel;50 mg/g;Autorizado;N;Laboratorios Ojer Pharma, S.L.;50,,,,,,,,
Aciclovir;Viranti;Lápis cutâneo;50 mg/g;Autorizado;N;Alvogen IPCo, S.ár.l.;50,,,,,,,,
Aciclovir;Zov 800;Comprimido;800 mg;Autorizado;N;Laboratórios Wellcome de Portugal, Lda.;50,,,,,,,,
Aciclovir;Zovirax;Comprimido;200 mg;Autorizado;N;Laboratórios Wellcome de Portugal, Lda.;50,,,,,,,,
Aciclovir;Zovirax;Creme;50 mg/g;Autorizado;N;GlaxoSmithKline Consumer Healthcare Produtos para a Saúde e Higiene Lda.;50
Aciclovir;Zovirax;Pomada oftálmica;30 mg/g;Autorizado;N;Laboratórios Wellcome de Portugal, Lda.;50,,,,,,,,
Aciclovir;Zovirax;Suspensão oral;80 mg/ml;Autorizado;N;Laboratórios Wellcome de Portugal, Lda.;50,,,,,,,,
Aciclovir + Hidrocortisona;Zoviduo;Creme;50 mg/g + 10 mg/g;Autorizado;N;GlaxoSmithKline Consumer Healthcare Produtos para a Saúde e Higiene Lda.;50
Acitretina;Neotigason;Cápsula;10 mg;Autorizado;N;Aurovitas Unipessoal, Lda.;50,,,,,,,,
Acitretina;Neotigason;Cápsula;25 mg;Autorizado;N;Aurovitas Unipessoal, Lda.;50,,,,,,,,
Adalimumab;Humira;Solução injetável;40 mg/0.8 ml;Autorizado;N;AbbVie Ltd;50
Adapaleno;Differin;Creme;1 mg/g;Autorizado;N;Laboratorios Galderma S.A. - Sucursal em Portugal;50
Adapaleno;Differin;Gel;1 mg/g;Autorizado;N;Laboratorios Galderma S.A. - Sucursal em Portugal;50
Adapaleno + Peróxido de benzoílo;Epiduo;Gel;1 mg/g + 25 mg/g;Autorizado;N;Laboratorios Galderma S.A. - Sucursal em Portugal;50
Adefovir;Hepsera;Comprimido;10 mg;Autorizado;N;Gilead Sciences International Ltd.;50
Adenosina;Adenocor;Solução injetável;6 mg/2 ml;Autorizado;N;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Adenosina;Adenoscan;Solução para perfusão;3 mg/ml;Autorizado;N;Sanofi - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Adenosina;Adenosina Claris;Solução injetável;6 mg/2 ml;Autorizado;S;Claris Lifesciences (UK), Ltd.;50,,,,,,,,
Adrenalina;Adrenalina Braun;Solução injetável;1 mg/1 ml;Autorizado;N;B. Braun Medical, Lda.;50,,,,,,,,
Adrenalina;Adrenalina Labesfal;Solução injetável;0.1 mg/1 ml;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Adrenalina;Adrenalina Labesfal;Solução injetável;0.25 mg/1 ml;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Adrenalina;Adrenalina Labesfal;Solução injetável;1 mg/1 ml;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Adrenalina;Adrenalina Labesfal;Solução injetável;2 mg/1 ml;Autorizado;N;Labesfal - Laboratórios Almiro, S.A.;50,,,,,,,,
Adrenalina;Anapen 0,15 mg/0,3 ml;Solução injetável;0.15 mg/0.3 ml;Autorizado;N;Lincoln Medical Ltd.;50,,,,,,,
Adrenalina;Anapen 0,3 mg/0,3 ml;Solução injetável;0.3 mg/0.3 ml;Autorizado;N;Lincoln Medical Ltd.;50,,,,,,,
Adrenalina;Epipen;Solução injetável em seringa pré-cheia;0.15 mg/0.3 ml;Autorizado;N;Meda Pharma - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Adrenalina;Epipen;Solução injetável em seringa pré-cheia;0.3 mg/0.3 ml;Autorizado;N;Meda Pharma - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Afamelanotido;Scenesse;Implante;16 mg;Autorizado;N;Clinuvel UK Ltd.;50
Afatinib;Giotrif;Comprimido revestido por película;20 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Afatinib;Giotrif;Comprimido revestido por película;30 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Afatinib;Giotrif;Comprimido revestido por película;40 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Afatinib;Giotrif;Comprimido revestido por película;50 mg;Autorizado;N;Boehringer Ingelheim International GmbH;50
Aflibercept;Eylea;Solução injetável;40 mg/ml;Autorizado;N;Bayer Pharma A.G.;50
Aflibercept;Eylea;Solução injetável;40 mg/ml;Autorizado;N;Bayer Pharma A.G.;50
Aflibercept;Zaltrap;Concentrado para solução para perfusão;25 mg/ml;Autorizado;N;Sanofi-Aventis Groupe, S.A.;50,,,,,,,,
Agalsidase alfa;Replagal;Concentrado para solução para perfusão;1 mg/ml;Autorizado;N;Shire Human Genetic Therapies AB;50
Agalsidase beta;Fabrazyme;Pó para solução para perfusão;35 mg;Autorizado;N;Genzyme Europe, B.V.;50,,,,,,,,
Agalsidase beta;Fabrazyme;Pó para solução para perfusão;5 mg;Autorizado;N;Genzyme Europe, B.V.;50,,,,,,,,
Agomelatina;Thymanax;Comprimido revestido por película;25 mg;Autorizado;N;Servier (Ireland) Industrie, Ltd.;50,,,,,,,,
Agomelatina;Valdoxan;Comprimido revestido por película;25 mg;Autorizado;N;   Les Laboratoires Servier;50
Alanina-Glutamina;Dipeptiven;Concentrado para solução para perfusão;200 mg/ml;Autorizado;N;   Fresenius Kabi Pharma Portugal, Lda;50,,,,,,,,
Albendazol;Zentel;Comprimido;400 mg;Autorizado;N;Omega Pharma Portuguesa, Lda.;50,,,,,,,,
Albendazol;Zentel;Suspensão oral;20 mg/ml;Autorizado;N;Omega Pharma Portuguesa, Lda.;50,,,,,,,,
Albiglutido;Eperzan;Pó e solvente para solução injetável;30 mg;Autorizado;N;GlaxoSmithKline Trading Services, Ltd.;50,,,,,,,,
Albiglutido;Eperzan;Pó e solvente para solução injetável;50 mg;Autorizado;N;GlaxoSmithKline Trading Services, Ltd.;50,,,,,,,,
Albumina humana;Albiomin 20%;Solução para perfusão;200 g/l;Autorizado;N;Biotest Pharma GmbH;50
